id,name,created_at,updated_at,parent_id
84,ストッキング/タイツ,2019-12-3 12:00:00,2019-12-4 12:00:00,81
85,レッグウォーマー,2019-12-3 12:00:00,2019-12-4 12:00:00,81
86,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,81
87,帽子,2019-12-3 12:00:00,2019-12-4 12:00:00,1
88,ニットキャップ/ビーニー,2019-12-3 12:00:00,2019-12-4 12:00:00,88
89,ハット,2019-12-3 12:00:00,2019-12-4 12:00:00,88
90,ハンチング/ベレー帽,2019-12-3 12:00:00,2019-12-4 12:00:00,88
91,キャップ,2019-12-3 12:00:00,2019-12-4 12:00:00,88
92,キャスケット,2019-12-3 12:00:00,2019-12-4 12:00:00,88
93,麦わら帽子,2019-12-3 12:00:00,2019-12-4 12:00:00,88
94,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,88
95,バッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,1
96,ハンドバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
97,トートバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
98,エコバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
99,リュック/バックパック,2019-12-3 12:00:00,2019-12-4 12:00:00,95
100,ボストンバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
101,スポーツバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
102,ショルダーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
103,クラッチバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
104,ポーチ/バニティ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
105,ボディバッグ/ウェストバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
106,マザーズバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
107,メッセンジャーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
108,ビジネスバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
109,旅行用バッグ/キャリーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
110,ショップ袋,2019-12-3 12:00:00,2019-12-4 12:00:00,95
111,和装用バッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
112,かごバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,95
113,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,95
114,アクセサリー,2019-12-3 12:00:00,2019-12-4 12:00:00,1
115,ネックレス,2019-12-3 12:00:00,2019-12-4 12:00:00,114
116,ブレスレット,2019-12-3 12:00:00,2019-12-4 12:00:00,114
117,バングル/リストバンド,2019-12-3 12:00:00,2019-12-4 12:00:00,114
118,リング,2019-12-3 12:00:00,2019-12-4 12:00:00,114
119,ピアス(片耳用),2019-12-3 12:00:00,2019-12-4 12:00:00,114
120,ピアス(両耳用),2019-12-3 12:00:00,2019-12-4 12:00:00,114
121,イヤリング,2019-12-3 12:00:00,2019-12-4 12:00:00,114
122,アンクレット,2019-12-3 12:00:00,2019-12-4 12:00:00,114
123,ブローチ/コサージュ,2019-12-3 12:00:00,2019-12-4 12:00:00,114
124,チャーム,2019-12-3 12:00:00,2019-12-4 12:00:00,114
125,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,114
126,ヘアアクセサリー,2019-12-3 12:00:00,2019-12-4 12:00:00,1
127,ヘアゴム/シュシュ,2019-12-3 12:00:00,2019-12-4 12:00:00,126
128,ヘアバンド/カチューシャ,2019-12-3 12:00:00,2019-12-4 12:00:00,126
129,ヘアピン,2019-12-3 12:00:00,2019-12-4 12:00:00,126
130,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,126
131,小物,2019-12-3 12:00:00,2019-12-4 12:00:00,1
132,長財布,2019-12-3 12:00:00,2019-12-4 12:00:00,131
133,折り財布,2019-12-3 12:00:00,2019-12-4 12:00:00,131
134,コインケース/小銭入れ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
135,名刺入れ/定期入れ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
136,キーケース,2019-12-3 12:00:00,2019-12-4 12:00:00,131
137,キーホルダー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
138,手袋/アームカバー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
139,ハンカチ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
140,ベルト,2019-12-3 12:00:00,2019-12-4 12:00:00,131
141,マフラー/ショール,2019-12-3 12:00:00,2019-12-4 12:00:00,131
142,ストール/スヌード,2019-12-3 12:00:00,2019-12-4 12:00:00,131
143,バンダナ/スカーフ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
144,ネックウォーマー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
145,サスペンダー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
146,サングラス/メガネ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
147,モバイルケース/カバー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
148,手帳,2019-12-3 12:00:00,2019-12-4 12:00:00,131
149,イヤマフラー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
150,傘,2019-12-3 12:00:00,2019-12-4 12:00:00,131
151,レインコート/ポンチョ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
152,ミラー,2019-12-3 12:00:00,2019-12-4 12:00:00,131
153,タバコグッズ,2019-12-3 12:00:00,2019-12-4 12:00:00,131
154,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,131
155,腕時計,2019-12-3 12:00:00,2019-12-4 12:00:00,1
156,腕時計(アナログ),2019-12-3 12:00:00,2019-12-4 12:00:00,155
157,腕時計(デジタル),2019-12-3 12:00:00,2019-12-4 12:00:00,155
158,ラバーベルト,2019-12-3 12:00:00,2019-12-4 12:00:00,155
159,レザーベルト,2019-12-3 12:00:00,2019-12-4 12:00:00,155
160,金属ベルト,2019-12-3 12:00:00,2019-12-4 12:00:00,155
161,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,155
162,ウィッグ/エクステ,2019-12-3 12:00:00,2019-12-4 12:00:00,1
163,前髪ウィッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,162
164,ロングストレート,2019-12-3 12:00:00,2019-12-4 12:00:00,162
165,ロングカール,2019-12-3 12:00:00,2019-12-4 12:00:00,162
166,ショートストレート,2019-12-3 12:00:00,2019-12-4 12:00:00,162
167,ショートカール,2019-12-3 12:00:00,2019-12-4 12:00:00,162
168,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,162
169,浴衣/水着,2019-12-3 12:00:00,2019-12-4 12:00:00,1
170,浴衣,2019-12-3 12:00:00,2019-12-4 12:00:00,169
171,着物,2019-12-3 12:00:00,2019-12-4 12:00:00,169
172,振袖,2019-12-3 12:00:00,2019-12-4 12:00:00,169
173,長襦袢/半襦袢,2019-12-3 12:00:00,2019-12-4 12:00:00,169
174,水着セパレート,2019-12-3 12:00:00,2019-12-4 12:00:00,169
175,水着ワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,169
176,水着スポーツ用,2019-12-3 12:00:00,2019-12-4 12:00:00,169
177,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,169
178,スーツ/フォーマル/ドレス,2019-12-3 12:00:00,2019-12-4 12:00:00,1
179,スカートスーツ上下,2019-12-3 12:00:00,2019-12-4 12:00:00,178
180,パンツスーツ上下,2019-12-3 12:00:00,2019-12-4 12:00:00,178
181,ドレス,2019-12-3 12:00:00,2019-12-4 12:00:00,178
182,パーティーバッグ,2019-12-3 12:00:00,2019-12-4 12:00:00,178
183,シューズ,2019-12-3 12:00:00,2019-12-4 12:00:00,178
184,ウェディング,2019-12-3 12:00:00,2019-12-4 12:00:00,178
185,その他,2019-12-3 12:00:00,2019-12-4 12:00:00,178
186,マタニティ,2019-12-3 12:00:00,2019-12-4 12:00:00,1
187,トップス,2019-12-3 12:00:00,2019-12-4 12:00:00,186
188,アウター,2019-12-3 12:00:00,2019-12-4 12:00:00,186
189,インナー,2019-12-3 12:00:00,2019-12-4 12:00:00,186
190,ワンピース,2019-12-3 12:00:00,2019-12-4 12:00:00,186
